theme,priority,product_name,product_code,sale_price_fcfa,currency,category,product_url,content_angle
back_to_school,1,kindergarten small school bag animal backpack,PVYN7NET7,5472,FCFA,School Bags,https://simbazu.net/products/kindergarten-small-school-bag-animal-backpack-4f94a038-9117-4993-a7ee-cd86f0cc1c50,Cute starter backpack for younger children
back_to_school,2,Nylon wear-resistant waterproof schoolbag,PVKIEPTYF,12492,FCFA,School Bags,https://simbazu.net/products/nylon-wear-resistant-waterproof-schoolbag-5ba27082-41ed-42be-83b6-f044630ab913,Practical waterproof school bag
back_to_school,3,Army Fan Pencil Case Men's Canvas Pencil Case,PA7W602VB,3780,FCFA,Office & School Supplies,https://simbazu.net/products/army-fan-pencil-case-mens-canvas-pencil-case-1412694339196424192,Low-cost stationery add-on
back_to_school,4,Creative Pencil Case Pencil Case Plain Starry Sky Pen Curtain Roll Pencil Case Color Lead Sketch,PVJRI685Z,2802,FCFA,Office & School Supplies,https://simbazu.net/products/creative-pencil-case-pencil-case-plain-starry-sky-pen-curtain-roll-pencil-case-color-lead-sketch-1424205823625793536,Creative pencil case for school and drawing
back_to_school,5,Children's Diving School Bag Cartoon Cute Animal Print Backpack,PWMU0GNSP,7368,FCFA,School Bags,https://simbazu.net/products/childrens-diving-school-bag-cartoon-cute-animal-print-backpack-1505065684471132160,Cartoon backpack for back-to-school content
back_to_school,6,Qin Le 304 Insulated Lunch Box EBay Sealed Lunch Box Dinner Plate Amazon Silicone Fresh-keeping Box Lunch Box,PETVJMJ8Z,14712,FCFA,Office & School Supplies,https://simbazu.net/products/qin-le-304-insulated-lunch-box-ebay-sealed-lunch-box-dinner-plate-amazon-silicone-fresh-keeping-box-lunch-box-1398464875264610304,Lunch box for school routine posts
home_organization,1,"40 Oz Tumbler With Handle Straw Insulated, Stainless Steel Spill Proof Vacuum Coffee Cup Tumbler With Lid Tapered Mug Gifts For Valentine Lover Suitable For Car Gym Office Travel",PEIF2DQL1,19236,FCFA,Home Office Storage,https://simbazu.net/products/40-oz-tumbler-with-handle-straw-insulated-stainless-steel-spill-proof-vacuum-coffee-cup-tumbler-with-lid-tapered-mug-gifts-for-valentine-lover-suitable-for-car-gym-office-travel-1610884907201474560,"Desk, office, gym, and travel hydration"
home_organization,2,Temporary Metal Waterproof Key Box At The Door,PZKKZCQG1,15588,FCFA,Home Office Storage,https://simbazu.net/products/temporary-metal-waterproof-key-box-at-the-door-4978336f-15c5-476b-bfe8-c907659b70bb,Small home security and key organization
home_organization,3,Bow Cosmetic Bag Large Capacity Travel Skincare Storage,PNIE3IFLH,3438,FCFA,Home Office Storage,https://simbazu.net/products/bow-cosmetic-bag-large-capacity-travel-skincare-storage-2504160835041618900,Beauty and travel storage bag
home_organization,4,Travel Storage Toiletries Sub-package Bag,PG6USVFQY,16350,FCFA,Home Office Storage,https://simbazu.net/products/travel-storage-toiletries-sub-package-bag-1791643361879789568,Travel toiletries organizer
home_organization,5,Insulated Lunch Box Airtight Bento Lunch Container,PNM9QPX0I,17724,FCFA,Storage Bottles & Jars,https://simbazu.net/products/insulated-lunch-box-airtight-bento-lunch-container-2601280528321600200,Meal prep and school/work lunch organization
home_organization,6,Double-layer Countertop Storage Box For The Kitchen,PXYEE6BSH,16842,FCFA,Storage Bottles & Jars,https://simbazu.net/products/double-layer-countertop-storage-box-for-the-kitchen-2602080341051616600,Kitchen countertop organization
beauty,1,Braided Chain Hair Accessories Wholesale Serpentine Accessories,PZPUGENQQ,1176,FCFA,Headband & Hair Band & Hairpin,https://simbazu.net/products/braided-chain-hair-accessories-wholesale-serpentine-accessories-1796377933309816832,Easy hair accessory for daily styling
beauty,2,Golden Five-pointed Star Hair Clip Silver Side-swept Bangs For Women,PJ03U9LIO,36,FCFA,Headband & Hair Band & Hairpin,https://simbazu.net/products/golden-five-pointed-star-hair-clip-silver-side-swept-bangs-for-women-2602080735181626900,Cute star hair clip for quick beauty content
beauty,3,Japanese Style Nail Ornament Little Bee,P3VBIKLUQ,42,FCFA,Nail Decorations,https://simbazu.net/products/japanese-style-nail-ornament-little-bee-2410310230151621600,Small nail art detail
beauty,4,New Nail Beauty Butterfly Silver Metal Alloy Rhinestone DIY Ornament Accessories,P8LFUBPAT,54,FCFA,Nail Art Kits,https://simbazu.net/products/new-nail-beauty-butterfly-silver-metal-alloy-rhinestone-diy-ornament-accessories-2510270402251625700,Butterfly nail art hook
beauty,5,Cute Starfish And Seashell Nail Art Accessories Featuring Adorable Marine Life,PWZX4L3AE,54,FCFA,Nail Art Kits,https://simbazu.net/products/cute-starfish-and-seashell-nail-art-accessories-featuring-adorable-marine-life-2601270522031637500,Summer/sea themed nail art
beauty,6,Love Hair Band Candy Color Headband Highly Elastic Hair Rope Hair Elastic Band,PBTZBYCJA,90,FCFA,Headband & Hair Band & Hairpin,https://simbazu.net/products/love-hair-band-candy-color-headband-highly-elastic-hair-rope-hair-elastic-band-1691276625830219776,Colorful everyday hair bands
fashion_accessories,1,TR90 Retro Round UV Resistant Glasses,PON2U1DDT,6264,FCFA,Man Prescription Glasses,https://simbazu.net/products/tr90-retro-round-uv-resistant-glasses-1660919376607981568,Retro glasses as outfit detail
fashion_accessories,2,New Glasses Bauhinia Metal Women's Fashion Young State Blue Light Proof Presbyopic Glasses,PLCTSHFT0,2850,FCFA,Eyewear & Accessories,https://simbazu.net/products/new-glasses-bauhinia-metal-womens-fashion-young-state-blue-light-proof-presbyopic-glasses-1377447457893519360,Women's glasses accessory post
fashion_accessories,3,Vintage Small Frame Round Steampunk Sunglasses,PPWVQBOGJ,3912,FCFA,Eyewear & Accessories,https://simbazu.net/products/vintage-small-frame-round-steampunk-sunglasses-1523124795167223808,Statement sunglasses for style content
fashion_accessories,4,Irregular Candy-colored Sunglasses On The Catwalk,PS3G7ILUV,2190,FCFA,Eyewear & Accessories,https://simbazu.net/products/irregular-candy-colored-sunglasses-on-the-catwalk-1471390754248200192,Colorful sunglasses for engagement poll
fashion_accessories,5,European And American Fashion Ocean Beach Glasses,PUDCNQL8J,3258,FCFA,Man Prescription Glasses,https://simbazu.net/products/european-and-american-fashion-ocean-beach-glasses-1535254133773709312,Travel/beach accessory angle
fashion_accessories,6,New Style Windshield Cycling Glasses Outdoor Sports,P8QY9IFAW,2742,FCFA,Eyewear & Accessories,https://simbazu.net/products/new-style-windshield-cycling-glasses-outdoor-sports-1490218043995983872,Outdoor/sport glasses content
travel,1,All Match College Style Small Backpack Multifunctional Diagonal Bag Women,PSWFFOKUJ,12888,FCFA,Fashion Backpacks,https://simbazu.net/products/all-match-college-style-small-backpack-multifunctional-diagonal-bag-women-1454751592401211392,Compact travel and daily bag
travel,2,Fashion Chain Small Round Shoulder Bag,PHNYW0DAN,9354,FCFA,Fashion Backpacks,https://simbazu.net/products/fashion-chain-small-round-shoulder-bag-1524297756410654720,Small day-out shoulder bag
travel,3,Simple Small Square Bag With Solid Color Stitching,PA3TC8XAF,5892,FCFA,Fashion Backpacks,https://simbazu.net/products/simple-small-square-bag-with-solid-color-stitching-1456139087177191424,Minimal travel accessory
travel,4,Trendy Women's Fashion Premium Velvet Backpack,PWZR7G1GB,10782,FCFA,Fashion Backpacks,https://simbazu.net/products/trendy-womens-fashion-premium-velvet-backpack-2407251253561619400,Soft fashion backpack for daily use
travel,5,Travel Storage Toiletries Sub-package Bag,PG6USVFQY,16350,FCFA,Home Office Storage,https://simbazu.net/products/travel-storage-toiletries-sub-package-bag-1791643361879789568,Travel toiletries organizer
travel,6,Portable Portable Mini Mesh Simple Makeup Bag,P9Y0BOHZW,1068,FCFA,Clutches,https://simbazu.net/products/portable-portable-mini-mesh-simple-makeup-bag-2409030216291618000,Low-cost makeup/travel pouch
