theme,product_code,product_name,sale_price_fcfa,asset_file,product_url,instagram_caption_en,instagram_caption_fr,instagram_caption_ar,facebook_caption,tiktok_script,hashtags
"back_to_school","PVYN7NET7","kindergarten small school bag animal backpack","5 472 FCFA","marketing/product-posts/assets/01-back_to_school-PVYN7NET7.png","https://simbazu.net/products/kindergarten-small-school-bag-animal-backpack-4f94a038-9117-4993-a7ee-cd86f0cc1c50","Simple find from Simbazu: Animal backpack. Cute starter backpack for younger children. Price: 5 472 FCFA. Product code: PVYN7NET7. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Animal backpack. Un choix pratique a decouvrir aujourd'hui. Prix : 5 472 FCFA. Code produit : PVYN7NET7. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Animal backpack. منتج عملي يستحق المشاهدة. السعر: 5 472 FCFA. كود المنتج: PVYN7NET7. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Animal backpack. Cute starter backpack for younger children. Price: 5 472 FCFA. Product code: PVYN7NET7. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Animal backpack. Un choix pratique a decouvrir aujourd'hui. Prix : 5 472 FCFA. Code produit : PVYN7NET7. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Animal backpack. منتج عملي يستحق المشاهدة. السعر: 5 472 FCFA. كود المنتج: PVYN7NET7. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PVYN7NET7, price 5 472 FCFA, then a 2-second use-case scene: Cute starter backpack for younger children. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #BackToSchool #ShoppingEnLigne #تسوق_اونلاين"
"back_to_school","PVKIEPTYF","Nylon wear-resistant waterproof schoolbag","12 492 FCFA","marketing/product-posts/assets/02-back_to_school-PVKIEPTYF.png","https://simbazu.net/products/nylon-wear-resistant-waterproof-schoolbag-5ba27082-41ed-42be-83b6-f044630ab913","Simple find from Simbazu: Waterproof schoolbag. Practical waterproof school bag. Price: 12 492 FCFA. Product code: PVKIEPTYF. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Waterproof schoolbag. Un choix pratique a decouvrir aujourd'hui. Prix : 12 492 FCFA. Code produit : PVKIEPTYF. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Waterproof schoolbag. منتج عملي يستحق المشاهدة. السعر: 12 492 FCFA. كود المنتج: PVKIEPTYF. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Waterproof schoolbag. Practical waterproof school bag. Price: 12 492 FCFA. Product code: PVKIEPTYF. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Waterproof schoolbag. Un choix pratique a decouvrir aujourd'hui. Prix : 12 492 FCFA. Code produit : PVKIEPTYF. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Waterproof schoolbag. منتج عملي يستحق المشاهدة. السعر: 12 492 FCFA. كود المنتج: PVKIEPTYF. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PVKIEPTYF, price 12 492 FCFA, then a 2-second use-case scene: Practical waterproof school bag. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #BackToSchool #ShoppingEnLigne #تسوق_اونلاين"
"back_to_school","PA7W602VB","Army Fan Pencil Case Men's Canvas Pencil Case","3 780 FCFA","marketing/product-posts/assets/03-back_to_school-PA7W602VB.png","https://simbazu.net/products/army-fan-pencil-case-mens-canvas-pencil-case-1412694339196424192","Simple find from Simbazu: Canvas pencil case. Low-cost stationery add-on. Price: 3 780 FCFA. Product code: PA7W602VB. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Canvas pencil case. Un choix pratique a decouvrir aujourd'hui. Prix : 3 780 FCFA. Code produit : PA7W602VB. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Canvas pencil case. منتج عملي يستحق المشاهدة. السعر: 3 780 FCFA. كود المنتج: PA7W602VB. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Canvas pencil case. Low-cost stationery add-on. Price: 3 780 FCFA. Product code: PA7W602VB. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Canvas pencil case. Un choix pratique a decouvrir aujourd'hui. Prix : 3 780 FCFA. Code produit : PA7W602VB. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Canvas pencil case. منتج عملي يستحق المشاهدة. السعر: 3 780 FCFA. كود المنتج: PA7W602VB. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PA7W602VB, price 3 780 FCFA, then a 2-second use-case scene: Low-cost stationery add-on. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #BackToSchool #ShoppingEnLigne #تسوق_اونلاين"
"back_to_school","PVJRI685Z","Creative Pencil Case Pencil Case Plain Starry Sky Pen Curtain Roll Pencil Case Color Lead Sketch","2 802 FCFA","marketing/product-posts/assets/04-back_to_school-PVJRI685Z.png","https://simbazu.net/products/creative-pencil-case-pencil-case-plain-starry-sky-pen-curtain-roll-pencil-case-color-lead-sketch-1424205823625793536","Simple find from Simbazu: Creative pencil case. Creative pencil case for school and drawing. Price: 2 802 FCFA. Product code: PVJRI685Z. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Creative pencil case. Un choix pratique a decouvrir aujourd'hui. Prix : 2 802 FCFA. Code produit : PVJRI685Z. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Creative pencil case. منتج عملي يستحق المشاهدة. السعر: 2 802 FCFA. كود المنتج: PVJRI685Z. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Creative pencil case. Creative pencil case for school and drawing. Price: 2 802 FCFA. Product code: PVJRI685Z. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Creative pencil case. Un choix pratique a decouvrir aujourd'hui. Prix : 2 802 FCFA. Code produit : PVJRI685Z. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Creative pencil case. منتج عملي يستحق المشاهدة. السعر: 2 802 FCFA. كود المنتج: PVJRI685Z. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PVJRI685Z, price 2 802 FCFA, then a 2-second use-case scene: Creative pencil case for school and drawing. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #BackToSchool #ShoppingEnLigne #تسوق_اونلاين"
"back_to_school","PWMU0GNSP","Children's Diving School Bag Cartoon Cute Animal Print Backpack","7 368 FCFA","marketing/product-posts/assets/05-back_to_school-PWMU0GNSP.png","https://simbazu.net/products/childrens-diving-school-bag-cartoon-cute-animal-print-backpack-1505065684471132160","Simple find from Simbazu: Cartoon backpack. Cartoon backpack for back-to-school content. Price: 7 368 FCFA. Product code: PWMU0GNSP. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Cartoon backpack. Un choix pratique a decouvrir aujourd'hui. Prix : 7 368 FCFA. Code produit : PWMU0GNSP. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Cartoon backpack. منتج عملي يستحق المشاهدة. السعر: 7 368 FCFA. كود المنتج: PWMU0GNSP. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Cartoon backpack. Cartoon backpack for back-to-school content. Price: 7 368 FCFA. Product code: PWMU0GNSP. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Cartoon backpack. Un choix pratique a decouvrir aujourd'hui. Prix : 7 368 FCFA. Code produit : PWMU0GNSP. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Cartoon backpack. منتج عملي يستحق المشاهدة. السعر: 7 368 FCFA. كود المنتج: PWMU0GNSP. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PWMU0GNSP, price 7 368 FCFA, then a 2-second use-case scene: Cartoon backpack for back-to-school content. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #BackToSchool #ShoppingEnLigne #تسوق_اونلاين"
"back_to_school","PETVJMJ8Z","Qin Le 304 Insulated Lunch Box EBay Sealed Lunch Box Dinner Plate Amazon Silicone Fresh-keeping Box Lunch Box","14 712 FCFA","marketing/product-posts/assets/06-back_to_school-PETVJMJ8Z.png","https://simbazu.net/products/qin-le-304-insulated-lunch-box-ebay-sealed-lunch-box-dinner-plate-amazon-silicone-fresh-keeping-box-lunch-box-1398464875264610304","Simple find from Simbazu: Insulated lunch box. Lunch box for school routine posts. Price: 14 712 FCFA. Product code: PETVJMJ8Z. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Insulated lunch box. Un choix pratique a decouvrir aujourd'hui. Prix : 14 712 FCFA. Code produit : PETVJMJ8Z. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Insulated lunch box. منتج عملي يستحق المشاهدة. السعر: 14 712 FCFA. كود المنتج: PETVJMJ8Z. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Insulated lunch box. Lunch box for school routine posts. Price: 14 712 FCFA. Product code: PETVJMJ8Z. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Insulated lunch box. Un choix pratique a decouvrir aujourd'hui. Prix : 14 712 FCFA. Code produit : PETVJMJ8Z. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Insulated lunch box. منتج عملي يستحق المشاهدة. السعر: 14 712 FCFA. كود المنتج: PETVJMJ8Z. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PETVJMJ8Z, price 14 712 FCFA, then a 2-second use-case scene: Lunch box for school routine posts. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #BackToSchool #ShoppingEnLigne #تسوق_اونلاين"
"home_organization","PEIF2DQL1","40 Oz Tumbler With Handle Straw Insulated, Stainless Steel Spill Proof Vacuum Coffee Cup Tumbler With Lid Tapered Mug Gifts For Valentine Lover Suitable For Car Gym Office Travel","19 236 FCFA","marketing/product-posts/assets/01-home_organization-PEIF2DQL1.png","https://simbazu.net/products/40-oz-tumbler-with-handle-straw-insulated-stainless-steel-spill-proof-vacuum-coffee-cup-tumbler-with-lid-tapered-mug-gifts-for-valentine-lover-suitable-for-car-gym-office-travel-1610884907201474560","Simple find from Simbazu: 40 oz insulated tumbler. Desk, office, gym, and travel hydration. Price: 19 236 FCFA. Product code: PEIF2DQL1. Search the code on simbazu.net and save this post for later.","Selection Simbazu : 40 oz insulated tumbler. Un choix pratique a decouvrir aujourd'hui. Prix : 19 236 FCFA. Code produit : PEIF2DQL1. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: 40 oz insulated tumbler. منتج عملي يستحق المشاهدة. السعر: 19 236 FCFA. كود المنتج: PEIF2DQL1. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: 40 oz insulated tumbler. Desk, office, gym, and travel hydration. Price: 19 236 FCFA. Product code: PEIF2DQL1. Search the code on simbazu.net and save this post for later.

Selection Simbazu : 40 oz insulated tumbler. Un choix pratique a decouvrir aujourd'hui. Prix : 19 236 FCFA. Code produit : PEIF2DQL1. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: 40 oz insulated tumbler. منتج عملي يستحق المشاهدة. السعر: 19 236 FCFA. كود المنتج: PEIF2DQL1. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PEIF2DQL1, price 19 236 FCFA, then a 2-second use-case scene: Desk, office, gym, and travel hydration. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #HomeEssentials #ShoppingEnLigne #تسوق_اونلاين"
"home_organization","PZKKZCQG1","Temporary Metal Waterproof Key Box At The Door","15 588 FCFA","marketing/product-posts/assets/02-home_organization-PZKKZCQG1.png","https://simbazu.net/products/temporary-metal-waterproof-key-box-at-the-door-4978336f-15c5-476b-bfe8-c907659b70bb","Simple find from Simbazu: Waterproof key box. Small home security and key organization. Price: 15 588 FCFA. Product code: PZKKZCQG1. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Waterproof key box. Un choix pratique a decouvrir aujourd'hui. Prix : 15 588 FCFA. Code produit : PZKKZCQG1. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Waterproof key box. منتج عملي يستحق المشاهدة. السعر: 15 588 FCFA. كود المنتج: PZKKZCQG1. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Waterproof key box. Small home security and key organization. Price: 15 588 FCFA. Product code: PZKKZCQG1. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Waterproof key box. Un choix pratique a decouvrir aujourd'hui. Prix : 15 588 FCFA. Code produit : PZKKZCQG1. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Waterproof key box. منتج عملي يستحق المشاهدة. السعر: 15 588 FCFA. كود المنتج: PZKKZCQG1. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PZKKZCQG1, price 15 588 FCFA, then a 2-second use-case scene: Small home security and key organization. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #HomeEssentials #ShoppingEnLigne #تسوق_اونلاين"
"home_organization","PNIE3IFLH","Bow Cosmetic Bag Large Capacity Travel Skincare Storage","3 438 FCFA","marketing/product-posts/assets/03-home_organization-PNIE3IFLH.png","https://simbazu.net/products/bow-cosmetic-bag-large-capacity-travel-skincare-storage-2504160835041618900","Simple find from Simbazu: Bow cosmetic storage bag. Beauty and travel storage bag. Price: 3 438 FCFA. Product code: PNIE3IFLH. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Bow cosmetic storage bag. Un choix pratique a decouvrir aujourd'hui. Prix : 3 438 FCFA. Code produit : PNIE3IFLH. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Bow cosmetic storage bag. منتج عملي يستحق المشاهدة. السعر: 3 438 FCFA. كود المنتج: PNIE3IFLH. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Bow cosmetic storage bag. Beauty and travel storage bag. Price: 3 438 FCFA. Product code: PNIE3IFLH. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Bow cosmetic storage bag. Un choix pratique a decouvrir aujourd'hui. Prix : 3 438 FCFA. Code produit : PNIE3IFLH. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Bow cosmetic storage bag. منتج عملي يستحق المشاهدة. السعر: 3 438 FCFA. كود المنتج: PNIE3IFLH. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PNIE3IFLH, price 3 438 FCFA, then a 2-second use-case scene: Beauty and travel storage bag. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #HomeEssentials #ShoppingEnLigne #تسوق_اونلاين"
"home_organization","PG6USVFQY","Travel Storage Toiletries Sub-package Bag","16 350 FCFA","marketing/product-posts/assets/04-home_organization-PG6USVFQY.png","https://simbazu.net/products/travel-storage-toiletries-sub-package-bag-1791643361879789568","Simple find from Simbazu: Travel toiletries organizer. Travel toiletries organizer. Price: 16 350 FCFA. Product code: PG6USVFQY. Search the code on simbazu.net and save this post for later.","Selection Simbazu : Travel toiletries organizer. Un choix pratique a decouvrir aujourd'hui. Prix : 16 350 FCFA. Code produit : PG6USVFQY. Cherchez le code sur simbazu.net et gardez ce post.","اختيار من سيمبازو: Travel toiletries organizer. منتج عملي يستحق المشاهدة. السعر: 16 350 FCFA. كود المنتج: PG6USVFQY. ابحث عن الكود على simbazu.net واحفظ المنشور.","Simple find from Simbazu: Travel toiletries organizer. Travel toiletries organizer. Price: 16 350 FCFA. Product code: PG6USVFQY. Search the code on simbazu.net and save this post for later.

Selection Simbazu : Travel toiletries organizer. Un choix pratique a decouvrir aujourd'hui. Prix : 16 350 FCFA. Code produit : PG6USVFQY. Cherchez le code sur simbazu.net et gardez ce post.

اختيار من سيمبازو: Travel toiletries organizer. منتج عملي يستحق المشاهدة. السعر: 16 350 FCFA. كود المنتج: PG6USVFQY. ابحث عن الكود على simbazu.net واحفظ المنشور.","Show product close-up, code PG6USVFQY, price 16 350 FCFA, then a 2-second use-case scene: Travel toiletries organizer. End with: Search the code on Simbazu.","#Simbazu #OnlineShopping #HomeEssentials #ShoppingEnLigne #تسوق_اونلاين"
